Roll,Pitch,Direction
93,101,Motionless
96,101,Motionless
100,100,Motionless
103,100,Motionless
106,100,Motionless
108,100,Motionless
110,100,Motionless
112,99,Motionless
113,99,Motionless
114,99,Motionless
114,99,Motionless
114,99,Motionless
114,99,Motionless
113,99,Motionless
111,99,Motionless
107,99,Motionless
104,100,Motionless
99,100,Motionless
97,100,Motionless
94,100,Motionless
92,100,Motionless
91,100,Motionless
90,100,Motionless
89,100,Motionless
89,100,Motionless
88,100,Motionless
89,100,Motionless
89,100,Motionless
89,100,Motionless
90,100,Motionless
93,100,Motionless
96,100,Motionless
99,100,Motionless
102,100,Motionless
105,100,Motionless
108,100,Motionless
111,99,Motionless
113,99,Motionless
115,99,Motionless
115,99,Motionless
115,99,Motionless
115,99,Motionless
114,99,Motionless
112,99,Motionless
108,100,Motionless
103,100,Motionless
100,100,Motionless
97,100,Motionless
94,100,Motionless
92,100,Motionless
91,100,Motionless
90,99,Motionless
89,99,Motionless
89,99,Motionless
89,99,Motionless
89,99,Motionless
90,99,Motionless
90,99,Motionless
91,99,Motionless
92,99,Motionless
95,99,Motionless
98,99,Motionless
102,99,Motionless
106,99,Motionless
109,99,Motionless
112,99,Motionless
114,98,Motionless
115,98,Motionless
115,98,Motionless
116,98,Motionless
116,98,Motionless
115,98,Motionless
112,98,Motionless
108,99,Motionless
103,99,Motionless
101,99,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
101,100,Motionless
100,101,Motionless
100,101,Motionless
100,101,Motionless
100,101,Motionless
100,101,Motionless
100,101,Motionless
99,101,Motionless
99,101,Motionless
99,101,Motionless
99,101,Motionless
99,102,Motionless
98,104,Left
98,105,Left
98,107,Left
98,107,Left
98,108,Left
98,108,Left
98,108,Left
98,107,Left
98,106,Left
98,104,Left
98,102,Motionless
98,99,Motionless
98,96,Motionless
98,94,Right
99,92,Right
99,91,Right
99,91,Right
99,91,Right
98,90,Right
98,90,Right
98,90,Right
98,90,Right
98,91,Right
98,94,Right
98,96,Motionless
98,100,Motionless
98,103,Left
98,105,Left
98,107,Left
99,108,Left
99,109,Left
99,109,Left
99,109,Left
99,109,Left
